Fecha,Cliente,Producto,Categoría,PrecioUnitario,Cantidad
2024-04-12,Marta,Auriculares,Audio,36.33,3
2024-03-15,Marcos,"Monitor 27""",Pantallas,268.59,2
2024-04-13,Lucía,Webcam,Periféricos,66.13,1
2024-02-27,Marta,Mouse,Periféricos,23.25,2
2024-02-18,Diego,Hub USB-C,Accesorios,26.87,1
2024-01-15,Luis,Auriculares,Audio,44.02,3
2024-02-24,Carlos,"Monitor 24""",Pantallas,199.67,3
2024-01-18,Lucía,Auriculares,Audio,42.37,4
2024-02-22,Florencia,"Monitor 24""",Pantallas,190.01,4
2024-03-21,Florencia,Hub USB-C,Accesorios,32.41,1
2024-04-13,Lucía,Cable HDMI,Accesorios,11.4,1
2024-01-04,Diego,"Notebook 14""",Computadoras,960.97,1
2024-05-25,Ana,Pad Mouse,Periféricos,10.36,2
2024-02-09,Paula,SSD 512GB,Almacenamiento,85.88,4
2024-05-03,Marcos,Webcam,Periféricos,63.65,1
2024-03-29,Jorge,SSD 512GB,Almacenamiento,73.01,3
2024-03-03,Marta,Mouse,Periféricos,26.94,3
2024-02-10,Federico,Teclado,Periféricos,54.44,4
2024-05-30,Camila,SSD 1TB,Almacenamiento,140.1,2
2024-02-04,Rocío,"Notebook 14""",Computadoras,949.34,2
2024-05-10,Luis,Cable HDMI,Accesorios,12.48,3
2024-01-15,Florencia,Teclado,Periféricos,57.69,1
2024-05-03,Federico,Mouse,Periféricos,20.27,3
2024-05-22,Florencia,"Notebook 15""",Computadoras,1152.12,2
2024-06-08,Rocío,SSD 1TB,Almacenamiento,143.52,3
2024-05-13,Diego,"Monitor 24""",Pantallas,210.98,2
2024-03-24,Carlos,Parlante BT,Audio,65.81,3
2024-05-08,Lucía,"Notebook 15""",Computadoras,1148.43,1
2024-04-30,Carlos,"Monitor 27""",Pantallas,264.94,1
2024-06-03,Marta,Disco 2TB,Almacenamiento,102.61,2
2024-02-20,Marcos,Cable HDMI,Accesorios,10.79,1
2024-06-08,Camila,Pad Mouse,Periféricos,8.64,3
2024-02-21,Camila,SSD 1TB,Almacenamiento,136.82,2
2024-03-21,Jorge,"Notebook 14""",Computadoras,857.82,1
2024-01-02,Carlos,Pad Mouse,Periféricos,8.9,2
2024-05-26,Florencia,"Monitor 27""",Pantallas,260.07,3
2024-06-08,Sofía,Cable HDMI,Accesorios,10.98,2
2024-02-07,Federico,"Notebook 14""",Computadoras,906.75,2
2024-05-18,Florencia,"Monitor 27""",Pantallas,268.54,1
2024-03-10,Agustín,Parlante BT,Audio,69.53,3
2024-06-12,Lucía,Parlante BT,Audio,65.08,1
2024-04-05,Agustín,Disco 2TB,Almacenamiento,96.34,1
2024-06-09,Marcos,Mouse,Periféricos,26.43,4
2024-06-07,Jorge,SSD 512GB,Almacenamiento,63.54,2
2024-05-23,Jorge,Cargador USB-C,Accesorios,28.61,2
2024-02-17,Federico,Cable HDMI,Accesorios,13.74,4
2024-04-08,Pedro,"Notebook 14""",Computadoras,932.65,4
2024-04-22,Pedro,"Monitor 27""",Pantallas,267.86,1
2024-06-14,Florencia,"Notebook 14""",Computadoras,934.16,4
2024-04-19,Diego,Hub USB-C,Accesorios,40.96,3
2024-06-17,Diego,Disco 2TB,Almacenamiento,86.7,3
2024-05-07,Camila,"Monitor 27""",Pantallas,259.58,2
2024-04-24,Pedro,Cargador USB-C,Accesorios,24.48,4
2024-01-27,Carlos,Parlante BT,Audio,71.0,3
2024-03-01,Marta,Webcam,Periféricos,88.56,2
2024-06-20,Sofía,Hub USB-C,Accesorios,34.9,5
2024-01-24,Rocío,Mouse,Periféricos,27.02,3
2024-06-08,Federico,Disco 2TB,Almacenamiento,80.56,2
2024-05-07,Rocío,Cable HDMI,Accesorios,10.21,3
2024-04-23,Hernán,"Notebook 14""",Computadoras,835.13,3
2024-06-03,Florencia,Auriculares,Audio,33.16,2
2024-06-24,Marta,"Notebook 14""",Computadoras,852.68,2
2024-01-26,Agustín,Teclado,Periféricos,51.52,3
2024-06-21,Valentina,Hub USB-C,Accesorios,35.86,1
2024-01-08,Sofía,Cable HDMI,Accesorios,13.27,3
2024-03-06,Ana,"Notebook 14""",Computadoras,926.06,3
2024-03-03,Hernán,Pad Mouse,Periféricos,9.31,1
2024-01-15,Hernán,Teclado,Periféricos,52.98,2
2024-01-08,Valentina,"Monitor 24""",Pantallas,190.46,2
2024-04-18,Pedro,SSD 1TB,Almacenamiento,135.66,1
2024-04-03,Sofía,Auriculares,Audio,54.29,4
2024-05-24,Rocío,SSD 512GB,Almacenamiento,84.23,2
2024-02-27,Daniela,Auriculares,Audio,34.85,1
2024-01-01,Marta,SSD 1TB,Almacenamiento,143.84,2
2024-04-27,Valentina,"Monitor 27""",Pantallas,275.76,2
2024-03-09,Luis,"Monitor 27""",Pantallas,281.11,2
2024-03-16,Diego,Mouse,Periféricos,21.05,1
2024-01-29,Carlos,Cargador USB-C,Accesorios,28.61,1
2024-03-09,Carlos,Webcam,Periféricos,68.13,2
2024-05-23,Pedro,Cargador USB-C,Accesorios,26.39,1
2024-06-24,Florencia,Pad Mouse,Periféricos,9.08,3
2024-03-09,Marcos,Hub USB-C,Accesorios,38.66,2
2024-05-17,Jorge,"Monitor 24""",Pantallas,200.78,3
2024-01-24,Valentina,Disco 2TB,Almacenamiento,123.48,6
2024-06-11,Camila,Cable HDMI,Accesorios,11.18,3
2024-06-09,Hernán,Cable HDMI,Accesorios,14.82,2
2024-01-29,Marta,"Monitor 27""",Pantallas,251.89,2
2024-03-30,Lucía,Mouse,Periféricos,25.69,2
2024-05-14,Agustín,Auriculares,Audio,42.38,5
2024-05-17,Diego,"Monitor 27""",Pantallas,248.45,2
2024-06-25,Diego,"Monitor 27""",Pantallas,249.75,1
2024-04-05,Ana,Mouse,Periféricos,26.28,3
2024-04-22,Luis,"Monitor 27""",Pantallas,279.07,1
2024-01-30,Carlos,Parlante BT,Audio,72.15,4
2024-01-19,Agustín,Mouse,Periféricos,26.08,4
2024-04-08,Hernán,"Monitor 27""",Pantallas,257.83,3
2024-02-22,Marcos,Cargador USB-C,Accesorios,29.66,1
2024-02-11,Jorge,Webcam,Periféricos,74.19,3
2024-06-11,Diego,Cargador USB-C,Accesorios,27.18,1
2024-03-16,Lucía,Cargador USB-C,Accesorios,30.14,5
2024-06-16,Paula,"Monitor 24""",Pantallas,193.72,1
2024-03-23,Marta,Teclado,Periféricos,51.16,4
2024-03-11,Paula,SSD 1TB,Almacenamiento,124.01,3
2024-03-30,Paula,Hub USB-C,Accesorios,34.29,2
2024-06-21,Nicolás,Parlante BT,Audio,64.85,1
2024-03-01,Marta,Parlante BT,Audio,62.59,4
2024-04-22,Federico,SSD 512GB,Almacenamiento,80.38,4
2024-02-16,Marta,"Monitor 27""",Pantallas,245.93,4
2024-05-26,Jorge,"Monitor 24""",Pantallas,200.33,3
2024-04-26,Florencia,Cable HDMI,Accesorios,12.66,2
2024-01-12,Pedro,Hub USB-C,Accesorios,32.08,2
2024-06-12,Sofía,"Notebook 14""",Computadoras,890.61,2
2024-06-26,Nicolás,"Monitor 27""",Pantallas,246.7,1
2024-06-03,Carlos,Cable HDMI,Accesorios,10.22,3
2024-06-05,Florencia,Teclado,Periféricos,49.39,3
2024-01-30,Luis,Auriculares,Audio,44.33,2
2024-04-28,Carlos,"Monitor 27""",Pantallas,283.33,3
2024-01-26,Sofía,Hub USB-C,Accesorios,33.51,4
2024-04-07,Daniela,Cargador USB-C,Accesorios,28.91,5
2024-03-23,Jorge,Disco 2TB,Almacenamiento,119.12,1
2024-03-18,Luis,Pad Mouse,Periféricos,8.91,2
2024-04-22,Federico,Auriculares,Audio,34.81,2
2024-04-04,Federico,"Notebook 14""",Computadoras,913.29,3
2024-01-12,Nicolás,"Notebook 15""",Computadoras,1062.58,3
2024-02-26,Paula,Cargador USB-C,Accesorios,26.5,3
2024-03-15,Pedro,"Monitor 24""",Pantallas,233.86,1
2024-06-14,Valentina,"Monitor 24""",Pantallas,202.71,3
2024-06-27,Luis,Parlante BT,Audio,65.41,3
2024-03-19,Agustín,Parlante BT,Audio,78.57,3
2024-05-24,Luis,Cargador USB-C,Accesorios,24.32,2
2024-03-09,Hernán,Pad Mouse,Periféricos,9.99,2
