Fecha;Tipo de cambio
2/1/2020;59,8518
3/1/2020;59,8335
6/1/2020;59,819
7/1/2020;59,8195
8/1/2020;59,8177
9/1/2020;59,8152
10/1/2020;59,8163
13/1/2020;59,88
14/1/2020;60,0367
15/1/2020;60,0075
16/1/2020;59,995
17/1/2020;60,0113
20/1/2020;60,0333
21/1/2020;60,0592
22/1/2020;60,1148
23/1/2020;60,0908
24/1/2020;60,1025
27/1/2020;60,1408
28/1/2020;60,1808
29/1/2020;60,2367
30/1/2020;60,2475
31/1/2020;60,3312
3/2/2020;60,4325
4/2/2020;60,579
5/2/2020;60,5763
6/2/2020;60,6732
7/2/2020;60,7745
10/2/2020;60,9688
11/2/2020;61,112
12/2/2020;61,2297
13/2/2020;61,3808
14/2/2020;61,4522
17/2/2020;61,655
18/2/2020;61,6645
19/2/2020;61,7233
20/2/2020;61,785
21/2/2020;61,8348
26/2/2020;62,0842
27/2/2020;62,1375
28/2/2020;62,208
2/3/2020;62,2503
3/3/2020;62,3002
4/3/2020;62,3577
5/3/2020;62,418
6/3/2020;62,4793
9/3/2020;62,5298
10/3/2020;62,5898
11/3/2020;62,6697
12/3/2020;62,8182
13/3/2020;62,8992
16/3/2020;63,0398
17/3/2020;63,175
18/3/2020;63,33
19/3/2020;63,5497
20/3/2020;63,7688
25/3/2020;64,0473
26/3/2020;64,2295
27/3/2020;64,4095
30/3/2020;64,4697
1/4/2020;64,5295
2/4/2020;64,7165
3/4/2020;64,9065
6/4/2020;64,988
7/4/2020;65,0695
8/4/2020;65,1595
13/4/2020;65,3795
14/4/2020;65,498
15/4/2020;65,6195
16/4/2020;65,7395
17/4/2020;65,8595
20/4/2020;65,9778
21/4/2020;66,0895
22/4/2020;66,225
23/4/2020;66,3167
24/4/2020;66,425
27/4/2020;66,525
28/4/2020;66,635
29/4/2020;66,745
30/4/2020;66,835
4/5/2020;66,925
5/5/2020;67,005
6/5/2020;67,095
7/5/2020;67,185
8/5/2020;67,275
11/5/2020;67,365
12/5/2020;67,455
13/5/2020;67,545
14/5/2020;67,635
15/5/2020;67,725
18/5/2020;67,815
19/5/2020;67,905
20/5/2020;67,995
21/5/2020;68,085
22/5/2020;68,175
26/5/2020;68,265
27/5/2020;68,355
28/5/2020;68,445
29/5/2020;68,535
1/6/2020;68,625
2/6/2020;68,715
3/6/2020;68,805
4/6/2020;68,895
5/6/2020;68,985
8/6/2020;69,075
9/6/2020;69,165
10/6/2020;69,255
11/6/2020;69,315
12/6/2020;69,375
16/6/2020;69,615
17/6/2020;69,675
18/6/2020;69,735
19/6/2020;69,795
22/6/2020;69,975
23/6/2020;70,035
24/6/2020;70,095
25/6/2020;70,155
26/6/2020;70,215
29/6/2020;70,395
30/6/2020;70,455
1/7/2020;70,515
2/7/2020;70,575
3/7/2020;70,635
6/7/2020;70,815
7/7/2020;70,875
8/7/2020;70,935
13/7/2020;71,2333
14/7/2020;71,295
15/7/2020;71,355
16/7/2020;71,415
17/7/2020;71,475
20/7/2020;71,655
21/7/2020;71,715
22/7/2020;71,775
23/7/2020;71,835
24/7/2020;71,895
27/7/2020;72,075
28/7/2020;72,135
29/7/2020;72,195
30/7/2020;72,255
31/7/2020;72,315
3/8/2020;72,515
4/8/2020;72,565
5/8/2020;72,615
6/8/2020;72,695
7/8/2020;72,765
10/8/2020;72,945
11/8/2020;72,995
12/8/2020;73,045
13/8/2020;73,105
14/8/2020;73,155
18/8/2020;73,395
19/8/2020;73,475
20/8/2020;73,525
21/8/2020;73,575
24/8/2020;73,725
25/8/2020;73,805
26/8/2020;73,855
27/8/2020;73,935
28/8/2020;73,995
31/8/2020;74,175
1/9/2020;74,245
2/9/2020;74,315
3/9/2020;74,375
4/9/2020;74,435
7/9/2020;74,645
8/9/2020;74,705
9/9/2020;74,765
10/9/2020;74,835
11/9/2020;74,905
14/9/2020;75,115
15/9/2020;75,185
16/9/2020;75,245
17/9/2020;75,315
18/9/2020;75,375
21/9/2020;75,585
22/9/2020;75,645
23/9/2020;75,715
24/9/2020;75,775
25/9/2020;75,845
28/9/2020;76,055
29/9/2020;76,115
30/9/2020;76,175
1/10/2020;76,245
2/10/2020;76,945
5/10/2020;77,0517
6/10/2020;77,08
7/10/2020;77,0967
8/10/2020;77,1033
9/10/2020;77,1083
13/10/2020;77,4033
14/10/2020;77,4217
15/10/2020;77,46
16/10/2020;77,5317
19/10/2020;77,5767
20/10/2020;77,6567
21/10/2020;77,7133
22/10/2020;78,0467
23/10/2020;78,0883
26/10/2020;78,2067
27/10/2020;78,2967
28/10/2020;78,2983
29/10/2020;78,2967
30/10/2020;78,3283
2/11/2020;78,69
3/11/2020;78,9033
4/11/2020;79,0233
5/11/2020;79,0933
9/11/2020;79,3433
10/11/2020;79,425
11/11/2020;79,4783
12/11/2020;79,575
13/11/2020;79,7283
16/11/2020;79,955
17/11/2020;80,0283
18/11/2020;80,1517
19/11/2020;80,2717
20/11/2020;80,3583
24/11/2020;80,6917
25/11/2020;80,7917
26/11/2020;80,8883
27/11/2020;81,0383
30/11/2020;81,2967
1/12/2020;81,395
2/12/2020;81,475
3/12/2020;81,5617
4/12/2020;81,6517
9/12/2020;82,045
10/12/2020;82,13
11/12/2020;82,215
14/12/2020;82,4567
15/12/2020;82,535
16/12/2020;82,6267
17/12/2020;82,7217
18/12/2020;82,8383
21/12/2020;83,1483
22/12/2020;83,2483
23/12/2020;83,3583
28/12/2020;83,905
29/12/2020;84,025
30/12/2020;84,145
4/1/2021;84,7033
5/1/2021;84,7967
6/1/2021;84,9033
7/1/2021;85
8/1/2021;85,105
11/1/2021;85,3783
12/1/2021;85,465
13/1/2021;85,555
14/1/2021;85,645
15/1/2021;85,735
18/1/2021;86,0667
19/1/2021;86,1967
20/1/2021;86,32
21/1/2021;86,4283
22/1/2021;86,5467
25/1/2021;86,9117
26/1/2021;87,0217
27/1/2021;87,1233
28/1/2021;87,2167
29/1/2021;87,2983
1/2/2021;87,605
2/2/2021;87,7033
3/2/2021;87,805
4/2/2021;87,905
5/2/2021;88,005
8/2/2021;88,165
9/2/2021;88,275
10/2/2021;88,355
11/2/2021;88,45
12/2/2021;88,5383
17/2/2021;88,945
18/2/2021;89,045
19/2/2021;89,1567
22/2/2021;89,4383
23/2/2021;89,535
24/2/2021;89,6383
25/2/2021;89,7533
26/2/2021;89,825
1/3/2021;90,085
2/3/2021;90,155
3/3/2021;90,2233
4/3/2021;90,295
5/3/2021;90,365
8/3/2021;90,5817
9/3/2021;90,6517
10/3/2021;90,7233
11/3/2021;90,7867
12/3/2021;90,855
15/3/2021;91,0667
16/3/2021;91,135
17/3/2021;91,205
18/3/2021;91,28
19/3/2021;91,3567
22/3/2021;91,5683
23/3/2021;91,6367
25/3/2021;91,7767
26/3/2021;91,8483
29/3/2021;91,9217
30/3/2021;91,9583
31/3/2021;91,985
5/4/2021;92,2367
6/4/2021;92,2867
7/4/2021;92,335
8/4/2021;92,3867
9/4/2021;92,435
12/4/2021;92,5817
13/4/2021;92,6283
14/4/2021;92,6767
15/4/2021;92,725
16/4/2021;92,7767
19/4/2021;92,9267
20/4/2021;92,975
21/4/2021;93,025
22/4/2021;93,075
23/4/2021;93,125
26/4/2021;93,275
27/4/2021;93,335
28/4/2021;93,4167
29/4/2021;93,5
30/4/2021;93,555
3/5/2021;93,675
4/5/2021;93,715
5/5/2021;93,755
6/5/2021;93,795
7/5/2021;93,835
10/5/2021;93,925
11/5/2021;93,955
12/5/2021;93,985
13/5/2021;94,015
14/5/2021;94,045
17/5/2021;94,135
18/5/2021;94,165
19/5/2021;94,21
20/5/2021;94,245
21/5/2021;94,2767
26/5/2021;94,485
27/5/2021;94,525
28/5/2021;94,565
31/5/2021;94,685
1/6/2021;94,735
2/6/2021;94,775
3/6/2021;94,815
4/6/2021;94,86
7/6/2021;94,975
8/6/2021;95,015
9/6/2021;95,055
10/6/2021;95,0967
11/6/2021;95,135
14/6/2021;95,255
15/6/2021;95,285
16/6/2021;95,315
17/6/2021;95,3517
18/6/2021;95,3817
22/6/2021;95,4967
23/6/2021;95,53
24/6/2021;95,5583
25/6/2021;95,59
28/6/2021;95,6833
29/6/2021;95,705
30/6/2021;95,7267
1/7/2021;95,7667
2/7/2021;95,795
5/7/2021;95,89
6/7/2021;95,9183
7/7/2021;95,9483
8/7/2021;95,9767
12/7/2021;96,095
13/7/2021;96,125
14/7/2021;96,155
15/7/2021;96,185
16/7/2021;96,215
19/7/2021;96,305
20/7/2021;96,335
21/7/2021;96,365
22/7/2021;96,395
23/7/2021;96,4317
26/7/2021;96,5267
27/7/2021;96,5783
28/7/2021;96,635
29/7/2021;96,6667
30/7/2021;96,685
2/8/2021;96,7817
3/8/2021;96,8133
4/8/2021;96,8433
5/8/2021;96,875
6/8/2021;96,9083
9/8/2021;96,9967
10/8/2021;97,0283
11/8/2021;97,0517
12/8/2021;97,0767
13/8/2021;97,105
17/8/2021;97,23
18/8/2021;97,265
19/8/2021;97,2883
20/8/2021;97,315
23/8/2021;97,4117
24/8/2021;97,4367
25/8/2021;97,4833
26/8/2021;97,545
27/8/2021;97,5667
30/8/2021;97,7167
31/8/2021;97,7517
1/9/2021;97,78
2/9/2021;97,8333
3/9/2021;97,8683
6/9/2021;97,95
7/9/2021;97,9883
8/9/2021;98,0233
9/9/2021;98,05
10/9/2021;98,0967
13/9/2021;98,2083
14/9/2021;98,22
15/9/2021;98,245
16/9/2021;98,3117
17/9/2021;98,3483
20/9/2021;98,4817
